"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C7,C8,C11,C15,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C31","21","100n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C9,C10","2","15p","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C12,C32","2","1u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C13,C14","2","4.7u","","","","components:C_0402_1005Metric_small_pads","~"
"C16,C17,C28,C29,C30","5","4.7u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"D1","1","LED","","","","LED_SMD:LED_0402_1005Metric","~"
"D2","1","LM66100DCKR","","","","components:LM66100DCKR","http://www.ti.com/lit/gpn/LM66100"
"H1,H2","2","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2_Pad_Via","~"
"IC1","1","NC7SZ11P6X","","","","components:NC7SZ11P6X","https://www.onsemi.com/pub/Collateral/NC7SZ11-D.PDF"
"IC2","1","FM25L16B-DG","","","","components:FM25L16B-DG","http://www.cypress.com/file/136516/download"
"IC3","1","NCP189CMTW330TAG","","","","components:NCP189CMTW330TAG","https://www.onsemi.com/pub/Collateral/NCP189-D.PDF"
"J1","1","USB","","","","Connector_PinHeader_1.27mm:PinHeader_1x04_P1.27mm_Vertical","~"
"J2","1","Conn_01x12","","","","Connector_Hirose:Hirose_DF52-12S-0.8H_1x12-1MP_P0.80mm_Horizontal","~"
"J3","1","Conn_01x03","","","","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical","~"
"J4","1","MEM2085-00-115-00-A","","","","components:MEM20850011500A","https://gct.co/files/drawings/mem2085.pdf"
"L1","1","3.3u","","","","components:AOTA-B201610S3R3-101-T","~"
"M1","1","~","","","","components:c-mount-03",""
"R1,R4,R5,R6,R18","5","10K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R2","1","100R","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3","1","65R","","","","Resistor_SMD:R_0402_1005Metric","~"
"R7,R8","2","1.5K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R9","1","30R","","","","Resistor_SMD:R_0402_1005Metric","~"
"R11","1","100K","","","","components:R_0402_1005Metric_small_pads","~"
"R12,R13","2","1k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R14","1","33","","","","Resistor_SMD:R_0402_1005Metric","~"
"R15","1","1k","","","","components:R_0402_1005Metric_small_pads","~"
"R16,R17","2","27","","","","Resistor_SMD:R_0402_1005Metric","~"
"R19","1","0R","","","","components:R_0402_1005Metric_small_pads","~"
"R20,R21,R22,R23","4","10K","","","","components:R_0402_1005Metric_small_pads","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_SPST_B3U-1000P","~"
"U1","1","MT9M001C12STM","","","","components:MT9M001C12STM",""
"U2","1","APS6404L-3SQR-ZR","","","","Package_SON:Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm","https://www.mouser.com/datasheet/2/1127/APM_PSRAM_QSPI_APS6404L_3SQR_v2_3_PKG-1954826.pdf"
"U3","1","RP2350_60QFN","","","","components:RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",""
"Y1","1","ABM8-272-T3","","","","components:ABM8272T3","~"
